ServCode;latitude;longitude;conceptKeyword;VarCode;VarName;datatype;valuetype,sample medium;Sitename;ValueCount;Organization
NWISDV; 39.8725833; -86.3615278; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN; 524; U.S. Geological Survey (USGS)
NWISDV; 37.7583333; -89.3277778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL; 401; U.S. Geological Survey (USGS)
NWISDV; 41.3347222; -89.3819444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; EAST BUREAU CREEK NEAR BUREAU, IL; 194; U.S. Geological Survey (USGS)
NWISDV; 40.16416667; -88.0275; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; SPOON RIVER NEAR ST. JOSEPH, IL; 996; U.S. Geological Survey (USGS)
NWISDV; 40.46777778; -88.86388889; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL; 730; U.S. Geological Survey (USGS)
NWISDV; 39.54638889; -89.435; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; CLEAR CREEK NEAR JEISYVILLE, IL; 179; U.S. Geological Survey (USGS)
NWISDV; 38.7236111; -87.6644444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; EMBARRAS RIVER AT LAWRENCEVILLE, IL; 489; U.S. Geological Survey (USGS)
NWISDV; 41.3347222; -89.3819444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; EAST BUREAU CREEK NEAR BUREAU, IL; 237; U.S. Geological Survey (USGS)
NWISDV; 40.4583333; -88.8775; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; KICKAPOO CREEK NEAR BLOOMINGTON, IL; 1313; U.S. Geological Survey (USGS)
NWISDV; 19.70725; -155.0817222; Nitrogen, total; NWISDV:00600/DataType=MEAN; Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter; average; Field Observation; SurfaceWater; Waiakea Stream at Hilo, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 19.65807505; -155.1194524; Phosphorus; NWISDV:91050/DataType=MEAN; Phosphorus, water, unfiltered, pounds of phosphorus per day; average; Field Observation; SurfaceWater; Waiakea Stream at Hoaka Road, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 39.659075; -89.6589361; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; SUGAR CREEK NEAR CHATHAM, IL; 586; U.S. Geological Survey (USGS)
